chinese_pharmaceutical_name,pinyin,property,meridian,taste
草果,Cao Guo,Warm,"Spleen meridian,Stomach meridian",Pungent
草乌,Cao Wu,Hot,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
侧柏叶,Ce Bai Ye,Cold,"Large intestine meridian,Liver meridian,Heart meridian","Bitter,Astringent"
柴胡,Chai Hu,Mildly cold,"Gallbladder meridian,Lung meridian,Liver meridian","Bitter,Pungent"
常山,Chang Shan,Cold,"Liver meridian,Spleen meridian","Bitter,Pungent"
车前草,Che Qian Cao,Cold,"Bladder meridian,Kidney meridian",Sweet
车前子,Che Qian Zi,Cold,"Bladder meridian,Kidney meridian",Sweet
沉香,Chen Xiang,Warm,"Spleen meridian,Kidney meridian,Stomach meridian","Bitter,Pungent"
陈皮,Chen Pi,Warm,"Lung meridian,Spleen meridian","Bitter,Pungent"
赤芍,Chi Shao,Cool,"Liver meridian,Spleen meridian","Bitter,Sour"
赤小豆,Chi Xiao Dou,Even,"Small intestine meridian,Heart meridianOthers meridian","Sweet,Sour"
川贝母,Chuan Bei Mu,Cool,Lung meridian,"Sweet,Bitter"
川楝子,Chuan Lian Zi,Cold,"Bladder meridian,Liver meridian,Small intestine meridianOthers meridian",Bitter
川木通,Chuan Mu Tong,Cold,"Bladder meridian,Small intestine meridian,Heart meridianOthers meridian",Bitter
川木香,Chuan Mu Xiang,Warm,"Large intestine meridian,Gallbladder meridian,Spleen meridian,Stomach meridian","Bitter,Pungent"
川牛膝,Chuan Niu Xi,Even,"Liver meridian,Kidney meridian","Sweet,Bitter,Sour"
川乌,Chuan Wu,Hot,"Liver meridian,Spleen meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
川芎,Chuan Xiong,Warm,"Gallbladder meridian,Liver meridian",Pungent
穿山龙,Chuan Shan Long,Mildly cold,"Lung meridian,Liver meridian",Bitter
穿心莲,Chuan Xin Lian,Cold,"Bladder meridian,Large intestine meridian,Lung meridian,Heart meridian",Bitter
垂盆草,Chui Pen Cao,Cool,"Gallbladder meridian,Liver meridian,Small intestine meridianOthers meridian",Sweet
刺五加,Ci Wu Jia,Warm,"Spleen meridian,Kidney meridian,Heart meridian","Mildly bitter,Pungent"
大黄,Da Huang,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
大蓟,Da Ji,Cool,"Liver meridian,Heart meridian","Sweet,Bitter"
